127.0.0.1 - - [06/Jun/2021:21:06:18 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:06:36 -0500] "GET /restauranteweb/test.jsf HTTP/1.1" 500 14186
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:08:35 -0500] "GET /restauranteweb/test.jsf HTTP/1.1" 500 84444
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/test.jsf HTTP/1.1" 200 11618
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-multiselect.js.jsf?ln=bsf HTTP/1.1" 200 54833
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/css/bootstrap-switch.css.jsf?ln=bsf HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/css/bootstrap-multiselect.css.jsf?ln=bsf HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-switch.js.jsf?ln=bsf HTTP/1.1" 200 26894
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 200 15217
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/js/select2.min.js.jsf?ln=bsf HTTP/1.1" 200 66682
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:18 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:20:19 -0500] "GET /restauranteweb/javax.faces.resource/js/dropdown.js.jsf?ln=bsf HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:24:21 -0500] "GET /restauranteweb/test.jsf HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:24:21 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:24:21 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:24:21 -0500] "GET /restauranteweb/javax.faces.resource/css/bootstrap-multiselect.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2021:21:24:21 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-multiselect.js.jsf?ln=bsf HTTP/1.1" 304 -
