127.0.0.1 - - [04/Jun/2021:19:44:52 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/home.jsf HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf;jsessionid=306E80D92EEA98E1D60192DF740D53D2?ln=bsf HTTP/1.1" 200 89568
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf;jsessionid=306E80D92EEA98E1D60192DF740D53D2?ln=bsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf;jsessionid=306E80D92EEA98E1D60192DF740D53D2?ln=bsf HTTP/1.1" 200 15384
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf;jsessionid=306E80D92EEA98E1D60192DF740D53D2?ln=bsf HTTP/1.1" 200 136406
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf;jsessionid=306E80D92EEA98E1D60192DF740D53D2?ln=bsf HTTP/1.1" 200 10390
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:07 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf;jsessionid=306E80D92EEA98E1D60192DF740D53D2?ln=javax.faces&stage=Development HTTP/1.1" 200 152475
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:08 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:15 -0500] "GET /restauranteweb/login.jsf HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [04/Jun/2021:19:45:15 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
