127.0.0.1 - - [26/Jun/2021:20:27:28 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/select2.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/modal.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:44 -0500] "GET /restauranteweb/javax.faces.resource/js/dropdown.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:45 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:45 -0500] "GET /restauranteweb/javax.faces.resource/jq/ui/i18n/dt/datatable-en.json.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:29:47 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 17679
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/css/dropdown-submenu.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/select2.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/dropdown.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/modal.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:33 -0500] "GET /restauranteweb/javax.faces.resource/jq/ui/i18n/dt/datatable-en.json.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:34 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:38 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3058
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:40 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:31:43 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 17676
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/css/dropdown-submenu.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/select2.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/dropdown.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:17 -0500] "GET /restauranteweb/javax.faces.resource/js/modal.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:18 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:18 -0500] "GET /restauranteweb/javax.faces.resource/jq/ui/i18n/dt/datatable-en.json.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:23 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:26 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:34:29 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/css/dropdown-submenu.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/select2.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/dropdown.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:19 -0500] "GET /restauranteweb/javax.faces.resource/js/modal.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:20 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:20 -0500] "GET /restauranteweb/javax.faces.resource/jq/ui/i18n/dt/datatable-en.json.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:22 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3820
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:24 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:45 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 11635
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:35:46 -0500] "GET /restauranteweb/javax.faces.resource/jq/ui/i18n/dt/datatable-en.json.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:36:23 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:36:39 -0500] "POST /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 11687
0:0:0:0:0:0:0:1 - - [26/Jun/2021:20:36:39 -0500] "GET /restauranteweb/javax.faces.resource/jq/ui/i18n/dt/datatable-en.json.jsf?ln=bsf HTTP/1.1" 304 -
