127.0.0.1 - - [08/Jun/2021:22:02:39 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/login.jsf HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/js/alert.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:02:56 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/login.jsf HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/js/alert.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:05:05 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:06:05 -0500] "GET /restauranteweb/login.jsf HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:06:05 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:06:05 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:06:05 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:06:05 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:22:06:05 -0500] "GET /restauranteweb/javax.faces.resource/js/alert.js.jsf?ln=bsf HTTP/1.1" 304 -
