127.0.0.1 - - [25/Jun/2021:21:43:38 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/login.jsf HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/image-loader.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/bsf.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/bootstrap-notify.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/image-loader.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/js/collapse.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /restauranteweb/javax.faces.resource/fonts/glyphicons-halflings-regular.woff2.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:07 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:21 -0500] "POST /restauranteweb/login.jsf HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/adminrestaurantes.jsf HTTP/1.1" 200 17596
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/css/cerulean/core.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/css/select2.min.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/css/bsf.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/css/dropdown-submenu.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/css/animate.css.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/js/select2.min.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/jq/jquery.js.jsf?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2021:21:44:22 -0500] "GET /restauranteweb/javax.faces.resource/js/tooltip.js.jsf?ln=bsf HTTP/1.1" 304 -
